# Time	MagPro_XP	MagPro_XP_fit
2.221999999999976761e-04	-5.386529180612087409e-01	-5.564104942510905705e-01
2.222999999999976785e-04	-5.375859275312860897e-01	-5.551297035877017505e-01
2.223999999999976809e-04	-5.365189370013635495e-01	-5.538473220415933707e-01
2.224999999999976834e-04	-5.352893375292361311e-01	-5.525633536857504913e-01
2.225999999999976858e-04	-5.340071203227104712e-01	-5.512778025976686758e-01
2.226999999999976882e-04	-5.327249031161848114e-01	-5.499906728593426664e-01
2.227999999999976635e-04	-5.314426859096593736e-01	-5.487019685572535055e-01
2.228999999999976660e-04	-5.301604687031337138e-01	-5.474116937823531037e-01
2.229999999999976684e-04	-5.284236976460582325e-01	-5.461198526300554690e-01
2.230999999999976708e-04	-5.265821980535322355e-01	-5.448264492002187209e-01
2.231999999999976733e-04	-5.247406984610061276e-01	-5.435314875971365423e-01
2.232999999999976757e-04	-5.228991988684800196e-01	-5.422349719295244119e-01
2.233999999999976781e-04	-5.210576992759539117e-01	-5.409369063105025077e-01
2.234999999999976806e-04	-5.197021615828898433e-01	-5.396372948575884898e-01
2.235999999999976830e-04	-5.184192464025193514e-01	-5.383361416926812915e-01
2.236999999999976583e-04	-5.171363312221490816e-01	-5.370334509420490177e-01
2.237999999999976607e-04	-5.158534160417785897e-01	-5.357292267363138460e-01
2.238999999999976632e-04	-5.145705008614080977e-01	-5.344234732104417018e-01
2.239999999999976656e-04	-5.132122395833870199e-01	-5.331161945037286021e-01
2.240999999999976680e-04	-5.118480632297816024e-01	-5.318073947597875550e-01
2.241999999999976434e-04	-5.104838868761766291e-01	-5.304970781265327950e-01
2.242999999999976458e-04	-5.091197105225712116e-01	-5.291852487561718998e-01
2.243999999999976482e-04	-5.077555341689659052e-01	-5.278719108051866948e-01
2.244999999999976507e-04	-5.062828276798231331e-01	-5.265570684343257035e-01
2.245999999999976531e-04	-5.048084072755325558e-01	-5.252407258085877162e-01
2.246999999999976555e-04	-5.033339868712419785e-01	-5.239228870972081342e-01
2.247999999999976579e-04	-5.018595664669514012e-01	-5.226035564736485339e-01
2.248999999999976604e-04	-5.003926078142303391e-01	-5.212827381155821227e-01
2.249999999999976628e-04	-4.990971793588202532e-01	-5.199604362048784179e-01
2.250999999999976652e-04	-4.978017509034101118e-01	-5.186366549275946980e-01
2.251999999999976677e-04	-4.965063224479999704e-01	-5.173113984739594606e-01
2.252999999999976701e-04	-4.952108939925898290e-01	-5.159846710383578783e-01
2.253999999999976725e-04	-4.939047258783553773e-01	-5.146564768193231387e-01
2.254999999999976750e-04	-4.925007247094668195e-01	-5.133268200195197917e-01
2.255999999999976232e-04	-4.910967235405789832e-01	-5.119957048457326465e-01
2.256999999999976256e-04	-4.896927223716904254e-01	-5.106631355088483426e-01
2.257999999999976280e-04	-4.882887212028018675e-01	-5.093291162238504644e-01
2.258999999999976305e-04	-4.868993072756949703e-01	-5.079936512097987800e-01
2.259999999999976329e-04	-4.855887190354492011e-01	-5.066567446898205818e-01
2.260999999999976353e-04	-4.842781307952034320e-01	-5.053184008910951430e-01
2.261999999999976378e-04	-4.829675425549576073e-01	-5.039786240448419496e-01
2.262999999999976402e-04	-4.816569543147118382e-01	-5.026374183863038247e-01
2.263999999999976426e-04	-4.802643240177440487e-01	-5.012947881547383799e-01
2.264999999999976451e-04	-4.785692749556548220e-01	-4.999507375934029163e-01
2.265999999999976475e-04	-4.768742258935655953e-01	-4.986052709495381041e-01
2.266999999999976499e-04	-4.751791768314763686e-01	-4.972583924743588235e-01
2.267999999999976523e-04	-4.734841277693870865e-01	-4.959101064230396205e-01
2.268999999999976548e-04	-4.718842909167295097e-01	-4.945604170546982759e-01
2.269999999999976572e-04	-4.705410503793244215e-01	-4.932093286323872006e-01
2.270999999999976596e-04	-4.691978098419193333e-01	-4.918568454230773379e-01
2.271999999999976621e-04	-4.678545693045142451e-01	-4.905029716976430643e-01
2.272999999999976103e-04	-4.665113287671098785e-01	-4.891477117308535849e-01
2.273999999999976127e-04	-4.652940376664604361e-01	-4.877910698013546154e-01
2.274999999999976152e-04	-4.643349531719701551e-01	-4.864330501916565574e-01
2.275999999999976176e-04	-4.633758686774798741e-01	-4.850736571881231196e-01
2.276999999999976200e-04	-4.624167841829895931e-01	-4.837128950809559402e-01
2.277999999999976224e-04	-4.614576996884993121e-01	-4.823507681641792666e-01
2.278999999999976249e-04	-4.603296067667650981e-01	-4.809872807356305180e-01
2.279999999999976273e-04	-4.589316664854600769e-01	-4.796224370969437434e-01
2.280999999999976297e-04	-4.575337262041551112e-01	-4.782562415535381306e-01
2.281999999999976322e-04	-4.561357859228500899e-01	-4.768886984146007979e-01
2.282999999999976346e-04	-4.547378456415451242e-01	-4.755198119930784117e-01
2.283999999999976370e-04	-4.532440725047894858e-01	-4.741495866056607000e-01
2.284999999999976395e-04	-4.516294809814089262e-01	-4.727780265727652420e-01
2.285999999999976419e-04	-4.500148894580283665e-01	-4.714051362185278649e-01
2.286999999999976443e-04	-4.484002979346478068e-01	-4.700309198707871006e-01
2.287999999999975925e-04	-4.467857064112681353e-01	-4.686553818610693645e-01
2.288999999999975950e-04	-4.450256348429874054e-01	-4.672785265245759656e-01
2.289999999999975974e-04	-4.431198248131760775e-01	-4.659003582001726707e-01
2.290999999999975998e-04	-4.412140147833647497e-01	-4.645208812303706081e-01
2.291999999999976023e-04	-4.393082047535534218e-01	-4.631400999613172198e-01
2.292999999999976047e-04	-4.374023947237420940e-01	-4.617580187427809402e-01
2.293999999999976071e-04	-4.359022995979919823e-01	-4.603746419281356528e-01
2.294999999999976096e-04	-4.347251334121695621e-01	-4.589899738743504209e-01
2.295999999999976120e-04	-4.335479672263470863e-01	-4.576040189419746662e-01
2.296999999999976144e-04	-4.323708010405246105e-01	-4.562167814951218481e-01
2.297999999999976169e-04	-4.311936348547021347e-01	-4.548282659014596385e-01
2.298999999999976193e-04	-4.299161358535434352e-01	-4.534384765321944344e-01
2.299999999999976217e-04	-4.285755680070770235e-01	-4.520474177620579237e-01
2.300999999999976241e-04	-4.272350001606106118e-01	-4.506550939692909319e-01
2.301999999999976266e-04	-4.258944323141442001e-01	-4.492615095356345400e-01
2.302999999999976290e-04	-4.245538644676777884e-01	-4.478666688463133760e-01
2.303999999999976314e-04	-4.228100385158820584e-01	-4.464705762900200159e-01
2.304999999999975797e-04	-4.208687246325006348e-01	-4.450732362589063240e-01
2.305999999999975821e-04	-4.189274107491181565e-01	-4.436746531485645240e-01
2.306999999999975845e-04	-4.169860968657357336e-01	-4.422748313580157076e-01
2.307999999999975869e-04	-4.150447829823532553e-01	-4.408737752896973450e-01
2.308999999999975894e-04	-4.135192141396508703e-01	-4.394714893494479080e-01
2.309999999999975918e-04	-4.121485825755338284e-01	-4.380679779464915491e-01
2.310999999999975942e-04	-4.107779510114167865e-01	-4.366632454934276097e-01
2.311999999999975967e-04	-4.094073194472998001e-01	-4.352572964062152994e-01
2.312999999999975991e-04	-4.080366878831827582e-01	-4.338501351041578746e-01
2.313999999999976015e-04	-4.065711600830727579e-01	-4.324417660098923144e-01
2.314999999999976040e-04	-4.050797556511218644e-01	-4.310321935493741097e-01
2.315999999999976064e-04	-4.035883512191710265e-01	-4.296214221518606102e-01
2.316999999999976088e-04	-4.020969467872201886e-01	-4.282094562499020873e-01
2.317999999999976113e-04	-4.006055423552693506e-01	-4.267963002793244143e-01
2.318999999999976137e-04	-3.990777203663878336e-01	-4.253819586792166318e-01
