Electrode,42.8,74.5,-6.9,AFp8
Electrode,36.4,71.8,-47.1,AFp10
Electrode,-57,52.1,-51.8,AFF9
Electrode,-61.1,53.7,-8.5,AFF7
Electrode,-54.7,57.3,17.6,AFF5
Electrode,-41.6,59.4,41,AFF3
Electrode,-21.6,60.8,56.5,AFF1
Electrode,2,62.1,61.9,AFFz
Electrode,26.8,60.8,55.3,AFF2
Electrode,46.2,59.6,37.7,AFF4
Electrode,58.2,57,13.3,AFF6
Electrode,62.7,53.4,-13.9,AFF8
Electrode,58.8,52.9,-56.8,AFF10
Electrode,-73.2,30.4,-56.1,FFT9
Electrode,-72.8,27.2,-13.2,FFT7
Electrode,-69.9,29.1,23.5,FFC5
Electrode,-53.7,30.2,55.1,FFC3
Electrode,-27.5,30.5,76.7,FFC1
Electrode,2.6,30.4,83.9,FFCz
Electrode,33.8,30.6,74.4,FFC2
Electrode,59.4,30.8,50.6,FFC4
Electrode,73.2,28.6,17.1,FFC6
Electrode,74.6,26.8,-19.9,FFT8
Electrode,74.1,29.4,-63.1,FFT10
Electrode,-78.9,2.6,-60.8,FTT9
Electrode,-79.2,-2.1,-16.6,FTT7
Electrode,-78.9,-2.4,25.4,FCC5
Electrode,-63.1,-2.9,62.9,FCC3
Electrode,-33,-4.2,87.8,FCC1
Electrode,2.7,-5,96.5,FCCz
Electrode,38.7,-4,85.3,FCC2
Electrode,68.7,-3.2,58.1,FCC4
Electrode,81.6,-3.4,18.9,FCC6
Electrode,80.6,-2.9,-23.2,FTT8
Electrode,80,0.8,-67.2,FTT10
Electrode,-84.7,-29.2,-64.1,TTP9
Electrode,-87,-31.4,-20.1,TTP7
Electrode,-82.9,-35.1,23.1,CCP5
Electrode,-68.5,-39,64.7,CCP3
Electrode,-35.5,-41.3,91,CCP1
Electrode,2.7,-42.5,99.7,CCPz
Electrode,42,-42,88.1,CCP2
Electrode,72.8,-40.2,58.6,CCP4
Electrode,83.9,-36.4,17,CCP6
Electrode,86.8,-32.6,-27.2,TTP8
Electrode,86.3,-29.6,-70.5,TTP10
Electrode,-84,-50.6,-66.1,TPP9
Electrode,-76.9,-59.7,-21.1,TPP7
Electrode,-75,-67.3,17.2,CPP5
Electrode,-61.5,-74.8,53.7,CPP3
Electrode,-31.8,-78.2,77.9,CPP1
Electrode,2.2,-78.8,84.1,CPPz
Electrode,38,-78.2,74.4,CPP2
Electrode,64.3,-74.4,47.6,CPP4
Electrode,74.6,-67.2,11.2,CPP6
Electrode,76.3,-61.1,-27.5,TPP8
Electrode,71.3,-56.3,-68.2,TPP10
Electrode,-59.7,-78.3,-62.3,PPO9
Electrode,-63.6,-86.1,-20.9,PPO7
Electrode,-60,-93.9,6.1,PPO5
Electrode,-47.5,-100.3,30.4,PPO3
Electrode,-24.5,-103.8,46.2,PPO1
Electrode,1.4,-104.5,50.7,PPOz
Electrode,27.8,-103.2,44.6,PPO2
Electrode,48.4,-99.7,26.5,PPO4
Electrode,59.8,-93.2,1.7,PPO6
Electrode,62.1,-86.9,-26.1,PPO8
Electrode,57.5,-80.7,-67.8,PPO10
Electrode,-40.6,-99.2,-60.6,POO9
Electrode,-42.5,-106.4,-19,POO7
Electrode,-36.7,-111.3,-6.6,POO5
Electrode,-27,-115.5,2.7,POO3
Electrode,-14.1,-117.7,9.4,POO1
Electrode,0.2,-118.3,9.1,POOz
Electrode,14.3,-117.6,6.2,POO2
Electrode,26.9,-115,0.3,POO4
Electrode,36.6,-110.7,-9.1,POO6
Electrode,41.1,-106.4,-22.5,POO8
Electrode,37.9,-100.9,-64.4,POO10
Electrode,-28.6,-109.7,-38,OI1
Electrode,-0.9,-115.7,-33,OIz
Electrode,26.9,-109.9,-40.5,OI2
Electrode,-82.1,-17,-18.4,T3
Electrode,-71.5,-73.5,-21.2,T5
Electrode,84,-18.3,-25.4,T4
Electrode,70.2,-74.5,-27,T6
Electrode,-84.3,-34.4,-82.8,M1
Electrode,71.5,-36.3,-95.7,M2
Electrode,-80.6,-23.3,-82.9,A1
Electrode,77,-20.1,-91.3,A2
Fiducial,0.9,82.9,-40.8,Nz
Fiducial,-1.5,-110.9,-54.8,Iz
Fiducial,-79.6,-19.1,-64.8,LPA
Fiducial,80.5,-19.3,-64.8,RPA
